RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1586,15047477,Customer,703,France,Female,24,9,21517.49,2,0,1,46870.74,0
1587,14607383,Customer,545,Germany,Male,34,0,243058.47,2,1,1,130545.89,0
1588,13443296,Customer,437,France,Male,18,6,22954.8,2,1,1,180870.45,0
1589,10982836,Customer,385,France,Female,31,3,180420.91,2,1,1,183835.54,0
1590,14065107,Customer,663,Germany,Female,64,7,123200.41,1,0,1,167823.74,0
1591,15838598,Customer,377,Germany,Male,61,7,189969.68,1,0,1,154848.01,0
1592,11762350,Customer,388,Spain,Female,61,7,65232.58,1,1,0,67796.33,1
1593,19156593,Customer,671,France,Male,55,5,0.0,1,0,1,26670.81,0
1594,14420650,Customer,776,France,Male,43,8,131375.36,1,0,0,109787.8,0
1595,10529025,Customer,354,Germany,Female,44,3,0.0,1,1,0,73700.11,1
1596,14057375,Customer,825,Germany,Female,62,4,212959.34,2,1,1,34352.3,1
1597,18673447,Customer,490,France,Male,33,3,0.0,2,0,1,97074.56,0
1598,15453354,Customer,577,France,Male,63,4,104396.89,2,1,0,109860.04,0
1599,13277682,Customer,358,France,Male,24,1,94204.11,2,1,0,157108.76,1
1600,13726082,Customer,708,Spain,Female,49,4,148520.16,2,0,0,163543.06,0
1601,14240973,Customer,827,France,Male,42,9,0.0,2,1,1,99018.61,0
1602,15574001,Customer,406,France,Female,48,7,0.0,1,0,1,184939.83,0
1603,11683157,Customer,632,France,Female,33,8,93222.75,2,0,0,159845.82,1
1604,16235846,Customer,794,France,Female,72,6,191206.82,2,1,0,92172.49,1
1605,10261088,Customer,810,France,Male,58,6,0.0,1,1,1,76547.63,0
1606,13505571,Customer,839,Germany,Female,31,5,170112.0,1,0,0,70397.57,0
1607,14052878,Customer,708,France,Male,42,1,0.0,1,0,1,98105.83,0
1608,15231953,Customer,527,Spain,Male,47,9,165420.14,2,0,1,72757.98,0
1609,13738055,Customer,825,France,Male,73,10,94951.91,1,1,1,99077.24,0
1610,12719246,Customer,431,Germany,Male,24,9,0.0,2,0,1,119680.21,0
1611,19080318,Customer,767,Spain,Female,29,8,0.0,2,1,0,41543.44,0
1612,14797022,Customer,434,Germany,Male,20,4,223775.68,2,0,0,161599.84,0
1613,13931387,Customer,414,Germany,Male,44,5,168713.01,2,0,0,31397.44,1
1614,10229751,Customer,778,France,Female,63,0,152914.32,2,1,1,86825.38,0
1615,11121971,Customer,692,France,Male,36,4,179966.31,1,0,1,41391.84,1
1616,16424261,Customer,639,Germany,Female,60,5,0.0,1,1,0,67746.42,0
1617,10309291,Customer,705,Spain,Male,54,9,73686.02,2,1,0,97074.51,0
1618,17880456,Customer,806,Germany,Male,72,10,0.0,1,1,0,152263.05,0
1619,17444406,Customer,485,Germany,Female,62,1,0.0,1,0,1,129146.52,1
1620,12725315,Customer,599,Germany,Male,59,6,36959.17,2,1,0,78537.81,1
1621,15431481,Customer,847,France,Female,24,3,118685.16,1,1,1,122279.6,0
1622,11328360,Customer,443,France,Male,66,4,173261.32,2,1,1,66301.26,0
1623,15320376,Customer,397,Germany,Male,33,2,0.0,1,1,1,169310.77,0
1624,19389264,Customer,769,Spain,Male,49,4,27786.86,1,0,1,101803.56,0
1625,15808882,Customer,449,France,Male,25,3,240538.43,2,1,1,146184.07,1
1626,16020432,Customer,687,Germany,Male,66,9,231985.49,1,0,0,69271.12,0
1627,16848402,Customer,543,France,Female,30,5,104479.13,2,0,1,138694.87,0
1628,12745487,Customer,466,Germany,Male,28,1,0.0,2,1,1,186086.41,0
1629,16061780,Customer,616,France,Male,37,2,38823.11,2,0,0,30475.46,0
1630,16858847,Customer,657,France,Male,35,9,82753.0,2,0,1,122214.17,0
1631,14226970,Customer,513,Spain,Female,54,0,0.0,2,1,0,105176.77,0
1632,13142676,Customer,828,France,Female,23,6,213991.64,1,1,1,112786.12,0
1633,15013580,Customer,636,Germany,Female,37,8,0.0,1,0,0,46974.3,0
1634,14280676,Customer,373,Spain,Female,49,1,77763.17,1,0,0,15148.94,0
1635,15552272,Customer,843,Spain,Male,63,6,170420.47,2,1,1,23541.39,1
1636,13191923,Customer,754,France,Male,61,2,0.0,2,0,1,63994.66,0
1637,15290532,Customer,445,France,Female,46,4,245951.76,1,0,1,172334.8,0
1638,18502719,Customer,846,France,Female,21,5,174332.2,1,0,0,163303.51,0
1639,18863280,Customer,603,Spain,Male,24,7,60041.25,3,1,0,199129.76,0
1640,17660668,Customer,763,Spain,Male,60,3,14996.15,2,1,0,150701.32,1
1641,10539540,Customer,470,Germany,Female,37,1,0.0,2,1,1,76732.19,0
1642,12739500,Customer,421,Spain,Female,51,2,56663.16,2,1,1,184468.39,1
1643,18788202,Customer,702,Germany,Male,53,7,0.0,2,1,0,160227.14,1
1644,16047249,Customer,720,Germany,Female,24,6,111096.9,2,1,1,142799.87,0
1645,17653859,Customer,413,France,Male,50,5,72034.78,2,1,0,111868.67,0
1646,10923815,Customer,592,Spain,Male,32,4,231272.64,2,0,1,146236.04,0
1647,16025914,Customer,476,France,Male,69,10,100977.44,2,1,1,192166.4,1
1648,18297729,Customer,722,Spain,Male,49,4,219154.15,1,1,1,173833.15,0
1649,15972146,Customer,388,Spain,Male,39,0,76683.02,1,1,1,46947.96,0
1650,10393443,Customer,734,Germany,Female,73,5,207872.65,2,0,0,28548.92,1
1651,19884280,Customer,702,France,Male,57,8,113628.64,2,0,1,13149.51,1
1652,18419309,Customer,775,France,Female,46,7,8089.55,2,0,1,145435.45,0
1653,12164038,Customer,426,France,Male,42,9,121738.36,3,1,0,62993.08,1
1654,13199592,Customer,819,France,Male,22,0,0.0,2,0,1,146461.57,0
1655,13129309,Customer,354,France,Female,31,10,76860.54,1,1,0,44988.89,0
1656,15869388,Customer,489,Spain,Female,67,5,171089.35,2,1,1,92978.95,1
1657,10421984,Customer,601,Germany,Female,52,2,132376.16,1,0,0,12584.43,1
1658,13517002,Customer,506,France,Female,19,5,0.0,1,0,0,30642.91,0
1659,13718812,Customer,608,France,Male,42,8,233988.66,1,1,0,25471.94,0
1660,18494810,Customer,666,France,Male,71,5,0.0,1,1,0,160212.13,1
1661,11262234,Customer,784,Germany,Female,33,7,215883.85,2,0,1,181835.71,0
1662,19038062,Customer,769,Germany,Female,63,5,48768.6,2,1,1,43160.5,0
1663,14834060,Customer,716,Spain,Female,33,5,19818.62,2,0,0,109656.12,1
1664,11989523,Customer,586,France,Female,28,6,0.0,1,0,0,38539.17,0
1665,11511619,Customer,424,Spain,Female,66,10,0.0,2,1,0,158057.99,0
1666,11281482,Customer,823,Spain,Male,52,9,0.0,2,1,1,165944.11,0
1667,13011239,Customer,735,France,Female,40,10,0.0,1,0,0,159181.08,0
1668,11237370,Customer,378,Spain,Female,72,3,74220.59,1,1,1,57784.48,0
1669,19445852,Customer,390,France,Female,22,7,106193.25,2,0,0,74139.08,0
1670,18391511,Customer,378,Spain,Male,52,3,26238.84,1,0,1,49627.77,1
1671,17302115,Customer,841,France,Male,46,6,0.0,2,1,1,10629.23,0
1672,12433769,Customer,449,Spain,Male,64,0,53602.18,2,0,0,22276.1,0
1673,10510978,Customer,669,Spain,Male,72,8,95613.85,1,1,0,197400.73,0
1674,18659404,Customer,407,Spain,Female,22,9,66586.81,2,1,0,183512.31,0
1675,11693427,Customer,560,Spain,Male,71,8,0.0,2,0,1,25095.57,0
1676,14104545,Customer,487,France,Male,20,6,1015.67,2,0,0,97641.83,0
1677,12402799,Customer,360,France,Male,23,7,84677.07,1,0,0,195168.55,0
1678,12661896,Customer,740,France,Female,40,1,242308.91,2,0,0,20350.66,1
1679,15361947,Customer,682,France,Male,63,9,169748.17,1,1,0,137063.29,0
1680,13278393,Customer,838,Germany,Male,73,9,193041.81,1,0,0,30233.41,1
1681,16609473,Customer,713,France,Male,19,6,214968.44,2,1,0,76112.15,0
1682,15822321,Customer,538,Spain,Male,35,0,90461.02,2,0,1,18944.44,0
1683,19841910,Customer,799,Germany,Male,47,2,16486.16,2,1,1,123693.36,1
1684,18422956,Customer,443,Spain,Male,55,5,0.0,1,0,0,143468.15,0
1685,18913667,Customer,691,France,Female,73,4,163176.61,1,0,1,17874.44,1
1686,15096572,Customer,530,Spain,Male,22,4,0.0,1,0,1,105787.25,1
1687,14497729,Customer,670,Spain,Male,63,8,112078.13,2,0,1,66813.9,0
1688,10645309,Customer,632,France,Female,66,5,0.0,1,0,0,144755.23,0
1689,18039660,Customer,740,Germany,Male,28,2,0.0,2,1,0,106950.05,0
1690,11944634,Customer,670,Spain,Female,18,1,83680.26,3,0,0,13191.92,1
1691,19599520,Customer,407,France,Male,27,8,122103.26,2,0,0,60442.73,0
1692,13486900,Customer,374,Germany,Female,58,9,0.0,1,0,0,102618.41,1
1693,16318615,Customer,653,France,Female,69,3,111457.34,2,0,1,28303.12,0
1694,10825440,Customer,609,France,Female,61,10,100441.09,1,1,1,178264.19,0
1695,17758305,Customer,827,France,Male,43,4,230977.24,1,0,0,180347.67,0
1696,17006672,Customer,741,France,Male,50,8,123280.64,1,0,0,31393.84,0
1697,15413370,Customer,846,France,Male,44,4,0.0,1,0,1,177827.47,0
1698,17243821,Customer,562,France,Female,73,6,0.0,1,0,0,118782.13,1
1699,12488787,Customer,464,Spain,Female,67,1,11580.71,1,1,0,174470.26,1
1700,11458920,Customer,801,Germany,Male,29,1,74869.53,1,0,1,129277.69,0
1701,11425747,Customer,537,Spain,Male,19,3,6802.05,1,0,0,184213.88,0
1702,12959062,Customer,609,France,Male,18,7,206693.56,2,1,1,97368.14,0
1703,15042878,Customer,485,France,Male,18,1,51071.92,2,1,0,199653.8,0
1704,14951032,Customer,839,Germany,Male,74,9,227798.38,1,0,1,172930.26,0
1705,14491229,Customer,439,France,Male,50,6,0.0,1,1,0,129576.84,0
1706,19864596,Customer,570,France,Female,39,0,166173.97,2,1,0,84481.43,0
1707,16911781,Customer,365,Germany,Female,29,8,0.0,1,0,0,126991.83,1
1708,11931792,Customer,496,France,Female,56,9,219478.76,3,1,1,148503.23,1
1709,17740186,Customer,734,Germany,Male,53,5,0.0,2,0,0,75109.23,0
1710,16961212,Customer,450,Germany,Female,38,10,126981.98,1,0,0,112779.55,0
1711,12261649,Customer,767,France,Female,37,0,237511.62,2,1,0,179138.56,1
1712,18149846,Customer,826,France,Male,53,9,204435.27,2,1,0,190944.98,0
1713,16941747,Customer,568,Spain,Female,43,5,31746.25,1,0,1,127448.5,0
1714,19625170,Customer,717,France,Male,64,4,104977.07,2,0,0,38502.46,0
1715,14454446,Customer,394,France,Male,48,4,134922.8,2,1,0,155782.96,0
1716,13901825,Customer,412,Spain,Male,18,4,0.0,2,1,0,57053.86,0
1717,10076638,Customer,699,France,Male,55,3,94883.7,1,1,0,22342.0,0
1718,15828944,Customer,739,Germany,Female,31,6,132910.06,2,1,0,80481.78,1
1719,11299305,Customer,641,Spain,Male,43,8,23248.01,4,1,0,61070.87,1
1720,15639122,Customer,726,France,Male,63,3,163808.11,2,0,0,107808.79,0
1721,17896636,Customer,708,France,Male,59,1,0.0,1,1,0,10444.53,1
1722,18864872,Customer,415,France,Female,24,1,196913.24,1,0,1,139134.9,0
1723,13374147,Customer,468,France,Male,72,1,173346.92,1,1,1,93919.25,0
1724,18440968,Customer,583,France,Female,73,6,28192.45,1,1,1,59298.48,0
1725,19676217,Customer,811,Germany,Female,72,3,87677.39,2,1,0,61528.5,1
1726,18885734,Customer,357,France,Male,71,3,184061.68,1,0,0,18038.86,1
1727,15258266,Customer,544,Germany,Male,29,0,84221.55,1,1,1,52296.45,0
1728,14747650,Customer,576,Spain,Female,41,3,141725.26,2,0,1,32521.14,0
1729,10024513,Customer,376,Spain,Male,36,5,240317.39,2,0,0,92940.97,0
1730,15216448,Customer,639,Germany,Male,26,1,19980.15,1,0,1,103907.9,0
1731,13546808,Customer,377,France,Female,52,3,0.0,1,1,1,166465.98,0
1732,16383155,Customer,508,Germany,Male,21,10,120152.35,1,1,0,117488.84,1
1733,19790333,Customer,494,Germany,Male,62,6,0.0,2,1,0,121592.83,1
1734,19706254,Customer,816,France,Male,59,8,82527.83,1,1,0,28482.23,0
1735,13416119,Customer,583,France,Male,49,1,29365.37,1,1,1,76618.37,0
1736,15946965,Customer,457,Spain,Female,63,7,78943.96,2,1,1,161337.71,1
1737,12446924,Customer,728,France,Female,23,5,161108.14,1,1,0,121007.72,1
1738,18048459,Customer,788,France,Female,45,7,198136.95,1,0,1,81310.69,0
1739,17885825,Customer,552,France,Female,45,1,244253.22,2,0,0,91896.66,1
1740,12213374,Customer,614,France,Male,57,10,190336.42,1,1,0,32019.6,1
1741,14923820,Customer,827,Spain,Male,68,0,123064.67,1,1,0,14985.18,0
1742,12884782,Customer,662,Germany,Male,46,6,0.0,2,0,1,37403.42,0
1743,13349574,Customer,650,Spain,Male,59,8,231879.1,2,0,0,66374.61,0
1744,10514386,Customer,739,France,Female,71,8,133552.58,2,1,0,63802.34,0
1745,18070945,Customer,747,France,Female,22,1,172198.4,1,1,0,143597.77,1
1746,12698368,Customer,764,France,Male,22,3,118110.09,1,0,1,40486.11,0
1747,11913965,Customer,787,France,Male,54,0,0.0,1,1,0,154242.9,0
1748,19872977,Customer,360,France,Male,58,10,136734.61,2,1,0,144725.45,0
1749,18970926,Customer,674,Spain,Male,72,6,209976.05,1,1,1,38772.23,0
1750,16069892,Customer,444,France,Male,45,1,95830.23,1,0,1,135526.47,0
1751,13999219,Customer,479,Germany,Male,58,3,167181.63,1,1,1,72298.0,1
1752,12422172,Customer,452,France,Female,64,1,0.0,2,1,1,30201.8,0
1753,16386814,Customer,622,France,Female,26,0,234134.39,1,0,0,128359.69,0
1754,17963863,Customer,835,France,Male,46,6,242482.88,2,1,0,160677.13,1
1755,10922714,Customer,459,Spain,Male,31,5,96573.65,1,0,0,192865.41,0
1756,18379669,Customer,641,Spain,Male,55,1,124595.98,2,1,0,114534.92,0
1757,11657644,Customer,480,Spain,Female,71,3,0.0,2,1,1,117625.38,1
1758,14803773,Customer,540,France,Female,69,10,49049.18,2,0,1,98009.25,0
1759,16579619,Customer,648,France,Female,57,2,0.0,2,1,0,68632.63,1
1760,19715651,Customer,442,Germany,Male,51,2,156751.12,2,1,0,37189.31,1
1761,18500715,Customer,638,France,Female,54,2,0.0,2,1,0,67035.76,1
1762,17337705,Customer,555,Spain,Male,66,10,0.0,1,1,0,73451.22,0
1763,19878928,Customer,707,France,Female,59,3,0.0,2,1,0,149890.51,0
1764,11155841,Customer,378,France,Male,31,0,234948.1,2,1,1,34456.32,0
1765,15546876,Customer,756,France,Male,35,0,37414.16,1,0,0,45486.42,0
1766,15473427,Customer,536,France,Female,50,6,137881.95,1,1,1,194702.05,0
1767,14171190,Customer,686,Germany,Male,71,4,0.0,1,0,1,23470.6,0
1768,15752929,Customer,526,France,Male,51,2,114587.27,1,0,1,186572.52,0
1769,18340033,Customer,788,France,Male,45,8,99303.05,2,0,1,37807.96,0
1770,12716979,Customer,680,France,Male,53,4,41049.75,2,0,1,111954.7,0
1771,15052024,Customer,505,France,Male,62,9,40998.89,2,1,0,85282.36,0
1772,14861068,Customer,595,Spain,Male,65,2,112524.1,2,1,0,86026.89,1
1773,11977844,Customer,548,Spain,Male,54,8,31648.73,2,0,0,143323.55,0
1774,17240080,Customer,458,Spain,Male,40,0,0.0,2,0,1,134629.98,0
1775,11180959,Customer,709,Spain,Female,59,8,17804.59,2,1,1,189177.79,1
1776,19178679,Customer,421,France,Male,34,4,74323.43,1,1,1,146486.58,0
1777,18415093,Customer,838,Germany,Male,28,5,133423.12,1,1,0,125336.38,0
1778,13991437,Customer,570,France,Female,49,1,185967.75,1,0,0,43416.37,0
1779,10027028,Customer,630,France,Female,54,7,207601.72,1,0,0,100560.89,0
1780,10264303,Customer,740,Spain,Female,32,2,84460.62,1,0,0,104462.27,0
1781,14497493,Customer,726,France,Male,21,0,234699.22,1,1,0,131385.23,0
1782,17251594,Customer,563,Spain,Female,56,6,60156.2,2,1,1,79550.48,1
1783,12795996,Customer,806,France,Female,47,2,20144.09,2,1,1,37622.36,0
1784,15533401,Customer,424,Germany,Female,27,3,231252.42,2,1,0,176909.97,1
1785,17016084,Customer,767,Germany,Female,40,4,134952.64,2,1,0,16159.04,0
1786,14827026,Customer,824,Spain,Female,41,0,87844.83,2,1,0,35640.66,0
1787,15866735,Customer,591,Germany,Female,53,10,224527.71,1,1,0,96669.39,0
1788,18497318,Customer,499,Germany,Female,69,10,193936.44,2,0,0,178871.91,1
1789,10136206,Customer,672,France,Male,22,8,208110.93,2,0,1,29481.08,0
1790,16090547,Customer,527,Germany,Female,54,6,73085.86,2,0,1,150153.49,0
1791,17299614,Customer,525,France,Female,60,1,218371.31,1,0,1,64438.84,1
1792,10714874,Customer,453,Germany,Male,36,0,0.0,2,0,0,24426.06,1
1793,13205306,Customer,468,Germany,Female,54,10,184503.96,1,0,1,180043.33,1
1794,14220401,Customer,549,Germany,Male,70,1,78105.54,2,1,1,194754.88,0
1795,13759386,Customer,419,France,Male,25,2,61253.88,2,0,1,35050.48,0
1796,19263110,Customer,406,France,Female,24,2,0.0,2,0,1,180252.49,0
1797,18867149,Customer,758,Germany,Male,57,7,143803.18,2,0,1,133139.38,0
1798,12545885,Customer,415,France,Male,30,4,166496.73,1,0,0,48280.58,1
1799,19665214,Customer,749,France,Male,54,8,124491.14,1,1,0,137590.04,1
1800,18525200,Customer,407,France,Male,44,2,174716.06,2,1,0,164155.25,0
1801,11838912,Customer,466,Spain,Male,35,5,177082.89,1,1,1,103822.75,0
1802,16578492,Customer,774,Germany,Male,41,3,0.0,3,1,0,182773.56,1
1803,18214572,Customer,656,France,Male,58,7,62772.12,1,1,1,110415.52,0
1804,18946604,Customer,370,France,Female,19,0,0.0,1,1,0,45230.86,1
1805,13924153,Customer,428,France,Female,33,3,191437.05,2,0,0,144767.79,1
1806,11766449,Customer,661,Spain,Male,31,6,221740.36,2,0,1,138609.37,0
1807,19097381,Customer,703,Germany,Female,34,8,125292.78,1,1,0,131682.65,1
1808,11827964,Customer,396,France,Male,23,0,0.0,1,1,1,177170.3,0
1809,18936625,Customer,723,France,Male,52,7,0.0,1,0,0,110309.69,0
1810,18527819,Customer,520,France,Male,34,1,56094.78,1,1,0,143803.6,0
1811,14737568,Customer,433,Germany,Female,62,3,115187.83,1,1,1,191385.42,1
1812,12306814,Customer,457,Spain,Female,55,3,127185.14,2,1,1,36175.13,0
1813,18544319,Customer,636,France,Male,57,7,106119.28,1,0,1,83439.18,1
1814,18504325,Customer,620,France,Male,74,10,107599.25,2,0,1,51567.47,0
1815,10746815,Customer,525,France,Male,23,1,121812.66,1,0,0,71528.68,0
1816,10229871,Customer,667,Spain,Male,65,6,0.0,2,0,0,107010.37,0
1817,15522177,Customer,825,France,Female,55,2,0.0,1,0,0,170627.95,0
1818,10639743,Customer,419,Spain,Male,66,8,0.0,2,1,1,85906.98,0
1819,16957782,Customer,736,Germany,Female,38,4,0.0,2,0,1,116002.9,0
1820,14732386,Customer,515,France,Male,52,7,203725.78,2,0,0,164325.2,0
1821,16566894,Customer,692,France,Female,40,4,91239.73,2,1,1,186344.77,0
1822,13041258,Customer,407,France,Female,29,0,100971.08,3,1,0,76436.08,1
1823,14300607,Customer,800,Germany,Male,74,8,233960.82,1,1,1,43811.55,0
1824,18576505,Customer,594,Spain,Female,46,9,243228.35,1,0,0,120607.19,0
1825,19996048,Customer,394,Germany,Female,44,10,235655.22,2,0,0,180197.58,1
1826,15545924,Customer,521,Germany,Male,23,6,160650.05,1,0,1,57211.2,0
1827,15300233,Customer,613,France,Male,38,3,60678.98,2,0,0,104894.98,1
1828,18235338,Customer,732,Spain,Female,24,6,0.0,2,1,0,102333.72,0
1829,16887294,Customer,415,Spain,Male,60,4,147271.65,2,0,0,186147.62,0
1830,18233895,Customer,676,France,Male,58,9,227058.79,1,0,0,96774.5,0
1831,13207326,Customer,538,Spain,Male,33,8,77917.15,1,1,0,111888.98,1
1832,19633750,Customer,622,Germany,Female,22,1,50169.98,2,1,1,36268.2,0
1833,18193182,Customer,420,Germany,Female,32,3,66451.75,2,1,1,97064.81,1
1834,10513658,Customer,702,Germany,Female,38,5,60786.26,1,0,1,74940.88,1
1835,17878448,Customer,385,Spain,Male,21,10,0.0,2,0,0,52115.64,0
1836,14614629,Customer,588,Germany,Male,22,4,0.0,2,0,0,106647.93,0
1837,19966062,Customer,417,France,Female,24,0,92028.31,1,1,0,156468.65,0
1838,10043847,Customer,457,France,Female,52,8,44103.23,1,0,1,43572.85,1
1839,12947132,Customer,557,Spain,Male,53,8,0.0,2,0,1,36898.32,0
1840,10730831,Customer,626,France,Male,74,2,136639.59,2,1,1,33615.93,0
1841,19862362,Customer,559,France,Male,32,3,166121.51,3,0,0,154988.03,1
1842,14576400,Customer,651,France,Female,45,3,137449.67,2,0,0,159735.02,1
1843,14203861,Customer,779,France,Female,19,9,0.0,1,0,0,178856.31,1
1844,16669524,Customer,697,Germany,Female,73,7,0.0,1,1,1,193184.96,0
1845,15959580,Customer,456,Spain,Female,74,5,109453.15,1,1,1,81707.88,0
1846,12715619,Customer,729,France,Male,22,1,114742.49,2,0,0,74683.85,0
1847,17725112,Customer,365,France,Female,24,3,241846.31,1,1,0,198380.95,0
1848,11586336,Customer,588,France,Female,39,0,217091.86,1,0,1,37007.03,1
1849,16835711,Customer,755,Spain,Male,66,2,0.0,2,0,0,17926.55,0
1850,12419247,Customer,739,Germany,Female,48,3,0.0,1,1,1,83180.15,0
1851,19445591,Customer,571,France,Male,49,7,0.0,1,0,0,26729.67,0
1852,15829235,Customer,789,Spain,Female,25,2,0.0,1,1,0,82817.0,0
1853,13997847,Customer,605,Spain,Female,58,4,0.0,2,1,1,88202.43,0
1854,12173522,Customer,650,Spain,Female,59,0,247720.49,2,0,0,131359.8,1
1855,11444258,Customer,791,Spain,Female,28,3,43013.57,2,1,0,151387.13,0
1856,18890296,Customer,761,France,Male,18,1,230484.41,3,0,1,133081.65,0
1857,13497622,Customer,494,Spain,Male,64,3,132.13,2,0,1,144365.85,0
1858,19556824,Customer,513,France,Male,57,4,109479.51,1,1,0,80107.59,0
1859,10193680,Customer,361,Spain,Female,36,2,0.0,1,0,1,96740.21,1
1860,19895616,Customer,399,Germany,Female,61,5,228113.04,2,1,1,145732.65,0
1861,15427319,Customer,664,Spain,Female,55,1,0.0,1,1,0,38007.46,1
1862,16424374,Customer,709,Germany,Male,59,4,168274.62,2,0,0,145288.87,1
1863,15951014,Customer,361,France,Female,73,3,0.0,2,1,1,190794.87,1
1864,11566319,Customer,833,Germany,Female,54,4,0.0,2,0,1,43377.76,0
1865,11488297,Customer,539,Spain,Female,73,8,0.0,1,1,0,84942.41,1
1866,16669483,Customer,645,Spain,Male,24,5,8112.21,1,0,1,120460.26,0
1867,18177782,Customer,442,France,Male,56,6,97100.16,2,1,1,146448.83,0
1868,12801051,Customer,479,France,Male,72,10,80630.77,4,1,0,57884.84,1
1869,14575121,Customer,698,France,Female,42,7,243221.32,2,1,0,121068.35,1
1870,13565547,Customer,827,Germany,Female,71,8,0.0,1,0,1,187660.36,0
1871,15315934,Customer,833,Spain,Female,39,4,0.0,1,0,0,77915.95,0
1872,18630225,Customer,713,France,Male,44,7,110540.1,1,1,1,118120.21,1
1873,18095216,Customer,758,Germany,Male,58,1,222742.08,1,0,1,128576.08,1
1874,11070446,Customer,690,Spain,Female,64,9,4204.91,2,0,0,178586.69,0
1875,15084080,Customer,563,Germany,Female,55,8,57109.67,1,1,0,69081.1,1
1876,17410657,Customer,679,Germany,Female,65,1,173753.2,1,0,1,175861.09,1
1877,18383908,Customer,732,Germany,Female,56,4,127096.96,1,0,0,137959.11,1
1878,17212045,Customer,636,Germany,Male,32,5,133451.82,1,1,1,146218.09,0
1879,11787202,Customer,524,France,Female,72,3,104086.23,1,1,0,22598.07,0
1880,18375550,Customer,793,Germany,Female,19,7,41614.57,2,1,0,77742.98,0
1881,18910215,Customer,550,Germany,Male,25,9,41555.37,2,0,1,32419.58,0
1882,15478500,Customer,454,Spain,Male,61,2,73620.31,1,0,1,116697.63,1
1883,10133572,Customer,580,Germany,Male,60,10,117077.41,1,1,0,169149.53,1
1884,15916160,Customer,447,Spain,Male,23,4,0.0,1,0,0,87897.5,1
1885,18000419,Customer,452,France,Female,37,1,0.0,2,0,0,52864.77,0
1886,16926564,Customer,390,France,Male,44,2,0.0,1,0,1,67875.58,0
1887,16907754,Customer,783,France,Male,62,7,30129.18,1,1,0,118905.79,0
1888,16601341,Customer,500,France,Male,40,10,0.0,2,0,1,155831.3,0
1889,15450699,Customer,617,Germany,Female,65,4,17630.94,2,1,1,141073.44,1
1890,19004809,Customer,676,Spain,Male,57,2,127506.39,1,0,0,189012.39,0
1891,17792519,Customer,701,France,Female,34,4,22508.07,1,0,0,177935.74,0
1892,16096439,Customer,816,France,Male,30,8,198921.04,1,0,1,29933.28,0
1893,12397584,Customer,627,Spain,Male,21,2,0.0,2,0,1,143701.17,0
1894,17102282,Customer,405,France,Male,37,9,0.0,2,1,0,84794.23,1
1895,19465071,Customer,365,Germany,Male,59,6,0.0,1,1,1,73867.33,0
1896,13552564,Customer,791,Germany,Male,42,7,50558.21,1,1,0,100417.36,1
1897,12359607,Customer,805,Germany,Male,39,4,146713.44,1,1,0,155590.69,0
1898,16844664,Customer,571,France,Female,69,2,0.0,2,0,0,89189.61,1
1899,12665823,Customer,528,France,Female,65,10,49491.7,1,0,1,166004.99,0
1900,14554229,Customer,483,Spain,Male,34,5,206640.7,2,0,1,99667.61,0
1901,15550281,Customer,607,Germany,Male,57,2,0.0,2,1,1,21471.91,0
1902,19527762,Customer,411,France,Female,28,8,3038.21,1,0,1,129766.02,0
1903,10326856,Customer,831,Spain,Female,42,1,125466.17,1,1,0,158348.01,1
1904,17948902,Customer,826,France,Male,22,2,67826.68,1,1,1,70036.63,0
1905,13951096,Customer,837,Germany,Female,38,6,228778.07,3,1,1,52207.02,1
1906,11580110,Customer,472,France,Female,43,9,0.0,1,0,0,131633.86,1
1907,15915848,Customer,391,Spain,Female,33,7,152903.67,1,0,1,77001.97,0
1908,16786355,Customer,722,France,Male,73,4,0.0,1,0,1,182100.12,0
1909,15346481,Customer,722,France,Male,57,4,232661.48,1,1,0,155695.28,1
1910,15752910,Customer,648,France,Male,38,4,36050.31,2,0,1,97626.65,0
1911,15285784,Customer,401,France,Female,65,3,112686.66,2,1,1,195357.59,0
1912,18771835,Customer,728,Spain,Female,49,8,170260.39,1,1,1,75455.91,0
1913,16223585,Customer,791,Spain,Male,21,5,123692.25,3,1,1,94478.1,1
1914,13057128,Customer,753,France,Female,55,7,220617.51,2,0,1,133297.98,1
1915,19367726,Customer,661,France,Female,70,7,0.0,4,0,1,107286.15,1
1916,11717436,Customer,416,Germany,Female,25,4,0.0,2,0,0,75433.61,1
1917,13860806,Customer,408,Spain,Female,26,8,0.0,2,0,1,89380.08,0
1918,10955958,Customer,653,Germany,Female,62,1,13050.79,2,1,0,174099.28,1
1919,18497267,Customer,384,France,Male,34,7,180144.38,1,1,0,47659.78,1
1920,11938293,Customer,485,France,Female,58,2,0.0,1,0,0,70348.07,1
1921,18288958,Customer,848,Germany,Female,30,6,86122.79,2,0,1,47718.63,1
1922,18713302,Customer,425,France,Male,26,8,0.0,1,0,0,107319.79,1
1923,16861587,Customer,591,Germany,Male,23,10,0.0,2,1,0,40570.33,0
1924,18402832,Customer,842,France,Female,44,4,126012.68,4,0,1,42516.06,0
1925,17718950,Customer,840,Spain,Male,59,10,113818.14,2,1,1,168515.71,0
1926,13503742,Customer,637,France,Female,54,7,27285.13,2,1,0,143575.24,1
